Reference, Quantity, Value, Footprint, Datasheet,
C10 C12 C13 C14 C15 C16 C18 C69 C70 ,18,0.1uF,Capacitors_SMD:C_1206_HandSoldering,,
C19 C9 ,4,22uF,Capacitors_SMD:C_1206_HandSoldering,,
C20 ,2,0.01uF,Capacitors_SMD:C_1206_HandSoldering,,
C21 C22 ,4,NI,Capacitors_SMD:C_1206_HandSoldering,,
C1 C11 C17 C2 C25 C3 C4 C5 C6 C7 C76 C77 ,24,1uF,Capacitors_SMD:C_1206_HandSoldering,,
C68 C71 ,4,100uF,Capacitors_SMD:C_1206_HandSoldering,,
C8 C95 ,4,10uF,Capacitors_SMD:C_1206_HandSoldering,,
C90 ,2,100pF,Capacitors_SMD:C_1206_HandSoldering,,
C23 C24 C26 C28 C29 C30 C31 C32 C72 C73 C74 C75 C80 C82 C84 C86 C88 C91 C92 C93 ,40,47pF,Capacitors_SMD:C_1206_HandSoldering,,
D1 D10 D2 D3 D4 D5 D6 D7 D8 D9 ,20,D,Diodes_SMD:D_SC-80_HandSoldering,,
J1 J7 ,4,CONN_02X08,Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm,,
J2 ,2,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm,,
J3 J5 ,4,CONN_02X10,Pin_Headers:Pin_Header_Straight_2x10_Pitch2.54mm,,
J6 ,2,DB15_F-RA,Pin_Headers:Pin_Header_Straight_1x15_Pitch2.54mm,,
JP1 JP16 JP3 JP4 JP5 ,10,Jumper,jumper:Jumper1x2,,
JP17 JP18 JP19 ,6,NI,jumper:jumper1x3,,
JP15 JP21 ,4,Jumper_NC_Dual,jumper:jumper1x3,,
JP22 JP23 JP24 JP25 JP26 JP27 JP28 JP29 JP30 JP31 JP32 JP33 JP34 JP35 JP36 JP37 ,32,JP2x2,jumper:Jumper2x2,,
OSC1 ,2,HC735-2.048MHZ,jumper:FXO-HC735,,
R10 R11 R12 R14 R18 R22 R26 R30 R34 R36 R40 R44 R6 R7 ,28,10k,Resistors_SMD:R_0805_HandSoldering,,
R3 R74 ,4,0,Resistors_SMD:R_0805_HandSoldering,,
R1 R2 R4 R5 ,8,NI,Resistors_SMD:R_0805_HandSoldering,,
R15 R67 R75 ,6,10K,Resistors_SMD:R_0805_HandSoldering,,
R8 ,2,392K,Resistors_SMD:R_0805_HandSoldering,,
R13 R17 R21 R25 R29 R33 R37 R39 R43 R9 ,20,22.1k,Resistors_SMD:R_0805_HandSoldering,,
TP1 TP10 TP2 TP3 TP4 TP5 TP6 TP7 ,16,TEST,Measurement_Points:Test_Point_Keystone_5000-5004_Miniature,,
U1 ,2,OPA132,jumper:OSC132,,
U18 U20 ,4,ADS1298,,,
J*,6,,Pinstrip 80 Pins,Reichelt,"SL 1X40G 2,54"
